time,prediction,prediction_tau,idle,transmit
0,0,0,-0.0495566,-0.459488
0,0,1,-0.0445207,-0.438497
0,0,2,-0.0412173,-0.464669
0,0,3,-0.0382014,-0.473527
0,0,4,-0.0341492,-0.442152
0,0,5,-0.0308508,-0.43006
0,0,6,-0.0271546,-0.433031
0,0,7,-0.0237744,-0.444502
0,0,8,-0.0202966,-0.432522
0,0,9,-0.0158117,-0.400064
0,0,10,-0.0119402,-0.420757
0,0,11,-0.00891387,-0.393499
0,0,12,-0.00517397,-0.369969
0,0,13,-0.00141584,-0.227097
0,0,14,0.000542469,-0.22604
0,0,15,0.00214291,-0.193064
0,0,16,0,0
0,0,17,0.000982389,-0.0430785
0,0,18,0.00289091,-0.0678191
0,0,19,0.0015535,-0.0370112
0,0,20,0,0
0,0,21,0,0
0,0,22,0,0
0,0,23,0,0
0,0,24,0,0
0,0,25,0,0
0,1,0,-0.0493988,-0.461057
0,1,1,-0.0445439,-0.449682
0,1,2,-0.0406041,-0.476059
0,1,3,-0.0370073,-0.413361
0,1,4,-0.0338165,-0.398168
0,1,5,-0.0298588,-0.411413
0,1,6,-0.0269174,-0.453164
0,1,7,-0.023149,-0.436521
0,1,8,-0.0200081,-0.44837
0,1,9,-0.0160605,-0.436138
0,1,10,-0.0131032,-0.433005
0,1,11,-0.00887346,-0.414102
0,1,12,-0.00574894,-0.395737
0,1,13,-0.0003778,-0.376324
0,1,14,0.000657364,-0.227349
0,1,15,0.00297167,-0.250442
0,1,16,0.00255113,-0.152474
0,1,17,0.00190047,-0.0852801
0,1,18,0.00393793,-0.096619
0,1,19,0,0
0,1,20,0.00247869,-0.0436991
0,1,21,0,0
0,1,22,0.00262596,-0.0420724
0,1,23,0.00285829,-0.0191759
0,1,24,0,0
0,1,25,0,0
0,2,0,-0.0494332,-0.427843
0,2,1,-0.0433931,-0.400372
0,2,2,-0.0411982,-0.415997
0,2,3,-0.0373815,-0.403138
0,2,4,-0.0333861,-0.413947
0,2,5,-0.0304519,-0.425538
0,2,6,-0.0268754,-0.45033
0,2,7,-0.0228048,-0.445505
0,2,8,-0.0185921,-0.407649
0,2,9,-0.0154533,-0.376389
0,2,10,-0.0121903,-0.335071
0,2,11,-0.00758613,-0.412221
0,2,12,-0.00613674,-0.367643
0,2,13,-0.0018595,-0.333368
0,2,14,0.00113385,-0.384647
0,2,15,0.00411367,-0.307194
0,2,16,0.00538354,-0.250659
0,2,17,0.00710205,-0.173957
0,2,18,0.00358332,-0.117596
0,2,19,0.00358909,-0.0585223
0,2,20,0.00967804,-0.155744
0,2,21,0.00426082,-0.0561734
0,2,22,0.0025934,-0.022468
0,2,23,0,0
0,2,24,0,0
0,2,25,0,0
0,3,0,-0.0489349,-0.388935
0,3,1,-0.0434283,-0.361667
0,3,2,-0.0413116,-0.370892
0,3,3,-0.0369974,-0.358652
0,3,4,-0.0339953,-0.394777
0,3,5,-0.0303861,-0.36384
0,3,6,-0.0265926,-0.39646
0,3,7,-0.022549,-0.368663
0,3,8,-0.0191056,-0.385984
0,3,9,-0.0158114,-0.391592
0,3,10,-0.01225,-0.352566
0,3,11,-0.00900656,-0.342794
0,3,12,-0.00508201,-0.340246
0,3,13,-0.00206247,-0.352546
0,3,14,0.0016864,-0.408765
0,3,15,0.00553226,-0.416047
0,3,16,0.00835825,-0.36538
0,3,17,0.0101541,-0.281937
0,3,18,0.01147,-0.252572
0,3,19,0.00860107,-0.132656
0,3,20,0.00202927,-0.0150395
0,3,21,0.00229896,-0.0289922
0,3,22,0.00309817,-0.0304817
0,3,23,0,0
0,3,24,0,0
0,3,25,0,0
0,4,0,-0.0494235,-0.369027
0,4,1,-0.0438261,-0.339326
0,4,2,-0.04102,-0.376793
0,4,3,-0.0376603,-0.346721
0,4,4,-0.0334962,-0.326307
0,4,5,-0.0306408,-0.371466
0,4,6,-0.0271174,-0.283723
0,4,7,-0.0234485,-0.36715
0,4,8,-0.0200397,-0.36783
0,4,9,-0.0160911,-0.328046
0,4,10,-0.0121244,-0.349505
0,4,11,-0.00902009,-0.325828
0,4,12,-0.00545573,-0.332476
0,4,13,-0.00094214,-0.340596
0,4,14,0.00214871,-0.33078
0,4,15,0.00430179,-0.353777
0,4,16,0.00841813,-0.341516
0,4,17,0.0117988,-0.338662
0,4,18,0.0117036,-0.205282
0,4,19,0.0132142,-0.225703
0,4,20,0.0128827,-0.16261
0,4,21,0.00912659,-0.116358
0,4,22,0.00986191,-0.0917161
0,4,23,0.00299463,-0.0337528
0,4,24,0.00383614,-0.0165106
0,4,25,0,0
0,5,0,-0.0490178,-0.259219
0,5,1,-0.0446527,-0.321055
0,5,2,-0.0409477,-0.299939
0,5,3,-0.0373979,-0.261548
0,5,4,-0.0338715,-0.313156
0,5,5,-0.0299359,-0.283179
0,5,6,-0.0275524,-0.27679
0,5,7,-0.023166,-0.295605
0,5,8,-0.0195508,-0.262652
0,5,9,-0.0158617,-0.291078
0,5,10,-0.0122183,-0.30618
0,5,11,-0.00893822,-0.300847
0,5,12,-0.00511793,-0.265193
0,5,13,-0.000516629,-0.330922
0,5,14,0.00215033,-0.305111
0,5,15,0.00561599,-0.300955
0,5,16,0.0088733,-0.247233
0,5,17,0.0131133,-0.313596
0,5,18,0.0146908,-0.308406
0,5,19,0.0143485,-0.208895
0,5,20,0.0152527,-0.205538
0,5,21,0.0134842,-0.157671
0,5,22,0.0136503,-0.161924
0,5,23,0.00919021,-0.0681622
0,5,24,0,0
0,5,25,0.00807001,-0.0690044
0,6,0,-0.048556,-0.276139
0,6,1,-0.0440549,-0.277681
0,6,2,-0.0402048,-0.257327
0,6,3,-0.0371889,-0.26238
0,6,4,-0.0332222,-0.284568
0,6,5,-0.0305629,-0.30524
0,6,6,-0.025658,-0.238635
0,6,7,-0.0232363,-0.201847
0,6,8,-0.0180519,-0.271809
0,6,9,-0.0160289,-0.281799
0,6,10,-0.01253,-0.297753
0,6,11,-0.00886507,-0.297336
0,6,12,-0.00493806,-0.259313
0,6,13,-0.00130705,-0.263099
0,6,14,0.00174488,-0.301139
0,6,15,0.00570699,-0.283877
0,6,16,0.00940441,-0.298466
0,6,17,0.0142231,-0.271708
0,6,18,0.0169741,-0.261183
0,6,19,0.0178176,-0.243309
0,6,20,0.0181062,-0.133021
0,6,21,0.0155956,-0.135632
0,6,22,0.0132306,-0.121026
0,6,23,0.0112387,-0.0983069
0,6,24,0.00950121,-0.0602429
0,6,25,0.00748038,-0.0581053
0,7,0,-0.0491597,-0.207935
0,7,1,-0.0432542,-0.24658
0,7,2,-0.0395125,-0.213231
0,7,3,-0.037114,-0.256032
0,7,4,-0.0329885,-0.295428
0,7,5,-0.0296157,-0.251033
0,7,6,-0.0261605,-0.220995
0,7,7,-0.0221181,-0.246411
0,7,8,-0.0192183,-0.228532
0,7,9,-0.0152706,-0.243212
0,7,10,-0.0118389,-0.236434
0,7,11,-0.00773658,-0.212058
0,7,12,-0.00417917,-0.137656
0,7,13,-0.000467516,-0.220717
0,7,14,0.00254633,-0.185401
0,7,15,0.00655621,-0.176475
0,7,16,0.0107475,-0.217386
0,7,17,0.0141253,-0.206199
0,7,18,0.0180352,-0.142627
0,7,19,0.019273,-0.247889
0,7,20,0.02021,-0.213304
0,7,21,0.0158439,-0.103744
0,7,22,0.0116945,-0.107657
0,7,23,0.00643347,-0.0382691
0,7,24,0.00374991,-0.0153639
0,7,25,0.00756863,-0.0540873
0,8,0,-0.048418,-0.259646
0,8,1,-0.0432631,-0.243187
0,8,2,-0.0398793,-0.239314
0,8,3,-0.0361499,-0.187308
0,8,4,-0.0328598,-0.173884
0,8,5,-0.0298256,-0.197022
0,8,6,-0.0260552,-0.24472
0,8,7,-0.0212592,-0.151018
0,8,8,-0.0177661,-0.221904
0,8,9,-0.0147957,-0.218019
0,8,10,-0.0114021,-0.187792
0,8,11,-0.00712114,-0.171633
0,8,12,-0.00453386,-0.207843
0,8,13,-0.00150368,-0.238188
0,8,14,0.00291394,-0.16651
0,8,15,0.00658468,-0.200816
0,8,16,0.00955579,-0.178942
0,8,17,0.0131864,-0.230754
0,8,18,0.0172613,-0.202829
0,8,19,0.0191282,-0.268441
0,8,20,0.0212443,-0.223128
0,8,21,0.024239,-0.145028
0,8,22,0.0189491,-0.0889467
0,8,23,0.011777,-0.0358805
0,8,24,0.0119161,-0.0421703
0,8,25,0.00901136,-0.0323865
0,9,0,-0.0471591,-0.133208
0,9,1,-0.0441994,-0.114878
0,9,2,-0.0389001,-0.171731
0,9,3,-0.0368036,-0.190954
0,9,4,-0.031984,-0.145606
0,9,5,-0.0288065,-0.13123
0,9,6,-0.0245201,-0.144376
0,9,7,-0.021538,-0.121184
0,9,8,-0.0184775,-0.170466
0,9,9,-0.01462,-0.197352
0,9,10,-0.010973,-0.165341
0,9,11,-0.00774181,-0.202508
0,9,12,-0.00375498,-0.123823
0,9,13,-0.00173716,-0.174207
0,9,14,0.00306772,-0.185394
0,9,15,0.00537151,-0.171643
0,9,16,0.0107021,-0.164935
0,9,17,0.0139688,-0.179649
0,9,18,0.0175226,-0.156127
0,9,19,0.0192568,-0.15483
0,9,20,0.0223062,-0.132068
0,9,21,0.0203703,-0.15447
0,9,22,0.0184414,-0.0507544
0,9,23,0.00647355,0.00885428
0,9,24,0.0167448,-0.0774879
0,9,25,0,0
0,10,0,-0.0461394,-0.127028
0,10,1,-0.041126,-0.102968
0,10,2,-0.0384426,-0.161995
0,10,3,-0.035419,-0.119691
0,10,4,-0.0317095,-0.095991
0,10,5,-0.0284504,-0.169991
0,10,6,-0.0247277,-0.0589609
0,10,7,-0.0210366,-0.146719
0,10,8,-0.0172883,-0.0248522
0,10,9,-0.0146435,-0.169347
0,10,10,-0.0102852,-0.11817
0,10,11,-0.0073626,-0.16201
0,10,12,-0.00362623,-0.1319
0,10,13,-0.000538019,-0.0833904
0,10,14,0.00439226,-0.0832357
0,10,15,0.00709146,-0.0971101
0,10,16,0.0106049,-0.13906
0,10,17,0.0152995,-0.0576367
0,10,18,0.0174753,-0.110459
