time,prediction,prediction_tau,idle,transmit
0,0,0,-0.0525004,-0.522732
0,0,1,-0.0460219,-0.460236
0,0,2,-0.0463416,-0.481044
0,0,3,-0.046038,-0.538099
0,0,4,-0.0433084,-0.519168
0,0,5,-0.0403859,-0.53401
0,0,6,-0.0377752,-0.532889
0,0,7,-0.0343911,-0.54547
0,0,8,-0.0311917,-0.512713
0,0,9,-0.0262297,-0.493425
0,0,10,-0.0248461,-0.509755
0,0,11,-0.0206786,-0.483939
0,0,12,-0.0154212,-0.432653
0,0,13,-0.0119135,-0.39515
0,0,14,-0.00724104,-0.287752
0,0,15,-0.00479053,-0.238684
0,0,16,-0.0019444,-0.13478
0,0,17,-0.00187157,-0.216533
0,0,18,-0.000417777,-0.227316
0,0,19,0,0
0,0,20,0.00051864,-0.0483925
0,0,21,0,0
0,0,22,0.00126409,-0.0297934
0,0,23,0,0
0,0,24,0,0
0,0,25,0,0
0,0,26,0,0
0,0,27,0,0
0,0,28,0,0
0,0,29,0,0
0,0,30,0,0
0,1,0,-0.0557567,-0.541429
0,1,1,-0.0522389,-0.534708
0,1,2,-0.0486465,-0.525772
0,1,3,-0.0460013,-0.52049
0,1,4,-0.0432399,-0.509261
0,1,5,-0.0398857,-0.515409
0,1,6,-0.0364267,-0.492542
0,1,7,-0.0339869,-0.509368
0,1,8,-0.0308057,-0.5142
0,1,9,-0.027744,-0.521198
0,1,10,-0.0238537,-0.492458
0,1,11,-0.0213477,-0.495384
0,1,12,-0.0188603,-0.524131
0,1,13,-0.0148368,-0.519077
0,1,14,-0.0130366,-0.480855
0,1,15,-0.00903595,-0.463782
0,1,16,-0.00564007,-0.449867
0,1,17,-0.0024083,-0.417405
0,1,18,0.000367934,-0.358784
0,1,19,0.00242442,-0.344103
0,1,20,0.00290196,-0.186304
0,1,21,0.00328042,-0.114419
0,1,22,0.00343023,-0.124618
0,1,23,0.00294593,-0.0797236
0,1,24,0,0
0,1,25,0.00205271,-0.0412208
0,1,26,0,0
0,1,27,0,0
0,1,28,0,0
0,1,29,0,0
0,1,30,0,0
0,2,0,-0.0559333,-0.524183
0,2,1,-0.0516778,-0.510972
0,2,2,-0.0485349,-0.498594
0,2,3,-0.0460467,-0.500058
0,2,4,-0.0417714,-0.50902
0,2,5,-0.0395717,-0.509979
0,2,6,-0.0365073,-0.499057
0,2,7,-0.0330694,-0.468681
0,2,8,-0.0301648,-0.471087
0,2,9,-0.0272339,-0.467426
0,2,10,-0.0250375,-0.492112
0,2,11,-0.0220895,-0.465919
0,2,12,-0.0179598,-0.454381
0,2,13,-0.0151392,-0.501729
0,2,14,-0.0124584,-0.500363
0,2,15,-0.00894326,-0.466387
0,2,16,-0.0053345,-0.438606
0,2,17,-0.00322174,-0.469515
0,2,18,-0.000114758,-0.461708
0,2,19,0.00344154,-0.349637
0,2,20,0.00343278,-0.244673
0,2,21,0.00293876,-0.134491
0,2,22,0.00429608,-0.109642
0,2,23,0,0
0,2,24,0.00169991,-0.0423884
0,2,25,0.00209845,-0.0486627
0,2,26,0.00461891,-0.0885875
0,2,27,0,0
0,2,28,0,0
0,2,29,0,0
0,2,30,0,0
0,3,0,-0.0558785,-0.491815
0,3,1,-0.0523944,-0.490383
0,3,2,-0.0488284,-0.510081
0,3,3,-0.0462536,-0.47365
0,3,4,-0.0431083,-0.461022
0,3,5,-0.0395476,-0.471405
0,3,6,-0.0370367,-0.507137
0,3,7,-0.0338656,-0.466931
0,3,8,-0.0308898,-0.494411
0,3,9,-0.0284677,-0.471626
0,3,10,-0.024373,-0.45356
0,3,11,-0.0223218,-0.472291
0,3,12,-0.0187193,-0.470627
0,3,13,-0.016557,-0.487469
0,3,14,-0.0126393,-0.490885
0,3,15,-0.00962489,-0.477218
0,3,16,-0.0069316,-0.448449
0,3,17,-0.00327122,-0.459947
0,3,18,-0.000625177,-0.482137
0,3,19,0.00206632,-0.401106
0,3,20,0.00481576,-0.354896
0,3,21,0.00392227,-0.21324
0,3,22,0.00443206,-0.158865
0,3,23,0.00299038,-0.0924474
0,3,24,0.00371675,-0.0866143
0,3,25,0.00204536,-0.0403301
0,3,26,0.00239197,-0.0490937
0,3,27,0,0
0,3,28,0,0
0,3,29,0,0
0,3,30,0,0
0,4,0,-0.0559532,-0.437295
0,4,1,-0.0518461,-0.4704
0,4,2,-0.0488733,-0.471806
0,4,3,-0.0459164,-0.465568
0,4,4,-0.043172,-0.471181
0,4,5,-0.0399781,-0.428034
0,4,6,-0.0368995,-0.4433
0,4,7,-0.0336292,-0.435331
0,4,8,-0.0310997,-0.460059
0,4,9,-0.0281876,-0.461767
0,4,10,-0.0249813,-0.456671
0,4,11,-0.0220378,-0.45355
0,4,12,-0.0190115,-0.467741
0,4,13,-0.0163482,-0.471552
0,4,14,-0.0132366,-0.436332
0,4,15,-0.0106361,-0.426359
0,4,16,-0.00824978,-0.455947
0,4,17,-0.00427663,-0.430448
0,4,18,-0.00097365,-0.431782
0,4,19,0.00292561,-0.42795
0,4,20,0.00493407,-0.449213
0,4,21,0.00784612,-0.407101
0,4,22,0.00882652,-0.312605
0,4,23,0.00441234,-0.134935
0,4,24,0,0
0,4,25,0,0
0,4,26,0.00428831,-0.0618548
0,4,27,0,0
0,4,28,0,0
0,4,29,0,0
0,4,30,0,0
0,5,0,-0.051047,-0.377485
0,5,1,-0.0477244,-0.408121
0,5,2,-0.0483274,-0.409984
0,5,3,-0.0458066,-0.43804
0,5,4,-0.0422476,-0.410924
0,5,5,-0.0394456,-0.429672
0,5,6,-0.0359048,-0.403736
0,5,7,-0.0332372,-0.429285
0,5,8,-0.0309216,-0.430656
0,5,9,-0.0280978,-0.417837
0,5,10,-0.0249975,-0.405851
0,5,11,-0.0216933,-0.45188
0,5,12,-0.0190657,-0.425101
0,5,13,-0.0154927,-0.402586
0,5,14,-0.0131757,-0.418411
0,5,15,-0.0084996,-0.384862
