time,prediction,prediction_tau,idle,transmit
0,0,0,0,0
0,0,1,0,0
0,0,2,0,0
0,0,3,0,0
0,0,4,0,0
0,0,5,0,0
0,0,6,0,0
0,0,7,0,0
0,0,8,0,0
0,0,9,0,0
0,0,10,0,0
0,0,11,0,0
0,0,12,0,0
0,0,13,0,0
0,0,14,0,0
0,0,15,0,0
0,0,16,0,0
0,0,17,0,0
0,0,18,0,0
0,0,19,0,0
0,0,20,0,0
0,0,21,0,0
0,0,22,0,0
0,0,23,0,0
0,0,24,0,0
0,0,25,0,0
0,0,26,0,0
0,0,27,0,0
0,0,28,0,0
0,0,29,0,0
0,0,30,0,0
0,0,31,0,0
0,0,32,0,0
0,0,33,0,0
0,0,34,0,0
0,0,35,0,0
0,0,36,0,0
0,0,37,0,0
0,0,38,0,0
0,0,39,0,0
0,0,40,0,0
0,1,0,-0.038948,-0.529758
0,1,1,-0.0191559,-0.378491
0,1,2,-0.0101933,-0.247626
0,1,3,-0.0176498,-0.348881
0,1,4,-0.00923699,-0.216562
0,1,5,-0.00901909,-0.158707
0,1,6,-0.00858501,-0.217941
0,1,7,-0.0148323,-0.340574
0,1,8,-0.00784247,-0.24484
0,1,9,-0.0075353,-0.222973
0,1,10,-0.00721359,-0.247633
0,1,11,-0.00658461,-0.246936
0,1,12,-0.0112974,-0.399855
0,1,13,0,0
0,1,14,0,0
0,1,15,0,0
0,1,16,0,0
0,1,17,0,0
0,1,18,0,0
0,1,19,0,0
0,1,20,0,0
0,1,21,0,0
0,1,22,0,0
0,1,23,0,0
0,1,24,0,0
0,1,25,0,0
0,1,26,0,0
0,1,27,0,0
0,1,28,0,0
0,1,29,0,0
0,1,30,0,0
0,1,31,0,0
0,1,32,0,0
0,1,33,0,0
0,1,34,0,0
0,1,35,0,0
0,1,36,0,0
0,1,37,0,0
0,1,38,0,0
0,1,39,0,0
0,1,40,0,0
0,2,0,-0.0635102,-0.57017
0,2,1,-0.0603006,-0.605629
0,2,2,-0.0562367,-0.587537
0,2,3,-0.0561694,-0.589127
0,2,4,-0.0545506,-0.557169
0,2,5,-0.0519449,-0.612752
0,2,6,-0.049826,-0.587405
0,2,7,-0.0475663,-0.58658
0,2,8,-0.045362,-0.59823
0,2,9,-0.0425551,-0.581498
0,2,10,-0.0406975,-0.616487
0,2,11,-0.0376327,-0.620509
0,2,12,-0.0350791,-0.590947
0,2,13,-0.0285083,-0.572193
0,2,14,-0.0236474,-0.535281
0,2,15,-0.0156978,-0.517172
