time,prediction,prediction_tau,idle,transmit
0,0,0,-0.0716363,-0.636541
0,0,1,-0.0653156,-0.648209
0,0,2,-0.0633645,-0.631807
0,0,3,-0.0625756,-0.619863
0,0,4,-0.0592496,-0.581604
0,0,5,-0.0593985,-0.625722
0,0,6,-0.0596639,-0.625907
0,0,7,-0.0541407,-0.597903
0,0,8,-0.0571916,-0.665004
0,0,9,-0.055682,-0.648942
0,0,10,-0.0524559,-0.639252
0,0,11,-0.0515372,-0.653085
0,0,12,-0.0511546,-0.609518
0,0,13,-0.0451302,-0.600169
0,0,14,-0.0388742,-0.554005
0,0,15,-0.0421576,-0.581574
0,0,16,-0.0413008,-0.566482
0,0,17,-0.0431737,-0.614571
0,0,18,-0.0344106,-0.525598
0,0,19,-0.0368504,-0.582621
0,0,20,-0.0281348,-0.425724
0,0,21,-0.0308862,-0.516179
0,0,22,-0.0280151,-0.473152
0,0,23,-0.031987,-0.566692
0,0,24,-0.02019,-0.361926
0,0,25,-0.0240456,-0.451679
0,0,26,-0.0198027,-0.435625
0,0,27,-0.0131838,-0.271654
0,0,28,-0.0111785,-0.261762
0,0,29,-0.00852809,-0.215224
0,0,30,-0.0114175,-0.266504
0,0,31,-0.00898161,-0.259465
0,0,32,-0.0040523,-0.12633
0,0,33,-0.00202047,-0.0646282
0,0,34,-0.00358663,-0.0932175
0,0,35,-0.00328,-0.121873
0,0,36,0,0
0,0,37,0,0
0,0,38,0,0
0,0,39,0,0
0,0,40,0,0
0,0,41,0,0
0,0,42,0,0
0,0,43,-0.000710773,-0.0639642
0,0,44,0,0
0,0,45,0,0
0,0,46,0,0
0,0,47,0,0
0,0,48,0,0
0,0,49,0,0
0,0,50,0,0
0,0,51,0.000411653,-0.0431345
0,0,52,0,0
0,0,53,0,0
0,0,54,0,0
0,0,55,0,0
0,0,56,0,0
0,0,57,0,0
0,0,58,0,0
0,0,59,0,0
0,0,60,0.00422073,-0.1268
0,1,0,-0.0710763,-0.623359
0,1,1,-0.0689036,-0.645651
0,1,2,-0.0668918,-0.663847
0,1,3,-0.065888,-0.632898
0,1,4,-0.0647531,-0.657882
0,1,5,-0.0629913,-0.668939
0,1,6,-0.0617686,-0.599255
0,1,7,-0.0598518,-0.694225
0,1,8,-0.0584106,-0.641238
0,1,9,-0.0572461,-0.676125
0,1,10,-0.0553819,-0.65173
0,1,11,-0.053995,-0.692849
0,1,12,-0.0524664,-0.658646
0,1,13,-0.0509298,-0.687202
0,1,14,-0.0495169,-0.64405
0,1,15,-0.0483951,-0.663827
0,1,16,-0.0464939,-0.637339
0,1,17,-0.0449883,-0.666592
0,1,18,-0.0433667,-0.671445
0,1,19,-0.0422805,-0.644334
0,1,20,-0.0405798,-0.678657
0,1,21,-0.0390373,-0.651567
0,1,22,-0.0379583,-0.686683
0,1,23,-0.0356108,-0.631583
0,1,24,-0.0341842,-0.618771
0,1,25,-0.0323727,-0.642368
0,1,26,-0.0311678,-0.647884
0,1,27,-0.0296805,-0.613817
0,1,28,-0.0261052,-0.594987
0,1,29,-0.025298,-0.554384
0,1,30,-0.0159701,-0.41343
