time,prediction,prediction_tau,idle,transmit
0,0,0,-0.0558835,-0.532555
0,0,1,-0.0520121,-0.522053
0,0,2,-0.048865,-0.541988
0,0,3,-0.0463411,-0.532002
0,0,4,-0.0433209,-0.502065
0,0,5,-0.0403736,-0.537677
0,0,6,-0.0375736,-0.544389
0,0,7,-0.0347116,-0.505958
0,0,8,-0.0314178,-0.530249
0,0,9,-0.0286675,-0.53546
0,0,10,-0.0256426,-0.542087
0,0,11,-0.0215278,-0.525854
0,0,12,-0.0165568,-0.453583
0,0,13,-0.0138022,-0.421426
0,0,14,-0.0110485,-0.405667
0,0,15,-0.00720501,-0.3829
0,0,16,-0.00279114,-0.199481
0,0,17,-0.00150034,-0.204808
0,0,18,0.000364684,-0.20748
0,0,19,0.000678283,-0.0824781
0,0,20,0.00227839,-0.205049
0,0,21,0.00284751,-0.110624
0,0,22,0,0
0,0,23,0.00166829,-0.0483649
0,0,24,0.00176901,-0.0491982
0,0,25,0.00213885,-0.0486982
0,0,26,0.00225523,-0.0463996
0,0,27,0,0
0,0,28,0,0
0,0,29,0,0
0,0,30,0,0
0,1,0,-0.0556981,-0.501342
0,1,1,-0.0515176,-0.524408
0,1,2,-0.0488643,-0.538469
0,1,3,-0.0458638,-0.506212
0,1,4,-0.0427663,-0.505811
0,1,5,-0.0400223,-0.523087
0,1,6,-0.0366831,-0.513556
0,1,7,-0.033998,-0.491139
0,1,8,-0.0311046,-0.50683
0,1,9,-0.027951,-0.516085
0,1,10,-0.0252624,-0.551157
0,1,11,-0.0226109,-0.523364
0,1,12,-0.0188919,-0.542691
0,1,13,-0.0162664,-0.51529
0,1,14,-0.0110878,-0.463331
0,1,15,-0.00923123,-0.439643
0,1,16,-0.00608366,-0.43607
0,1,17,-0.00194692,-0.352656
0,1,18,-0.000568261,-0.167176
0,1,19,0.00197348,-0.212337
0,1,20,0.00163583,-0.125913
0,1,21,0.00369967,-0.142274
0,1,22,0.00665359,-0.204525
0,1,23,0.00323844,-0.0911469
0,1,24,0.00530081,-0.117344
0,1,25,0,0
0,1,26,0,0
0,1,27,0.00264606,-0.039321
0,1,28,0,0
0,1,29,0,0
0,1,30,0,0
0,2,0,-0.0549259,-0.502162
0,2,1,-0.0502743,-0.461041
0,2,2,-0.0477523,-0.504337
0,2,3,-0.045571,-0.508515
0,2,4,-0.0419941,-0.517675
0,2,5,-0.0392776,-0.483749
0,2,6,-0.0365337,-0.476605
0,2,7,-0.0329185,-0.504286
0,2,8,-0.029833,-0.480075
0,2,9,-0.0263028,-0.466984
0,2,10,-0.0249489,-0.495855
0,2,11,-0.0219889,-0.498007
0,2,12,-0.0184711,-0.48595
0,2,13,-0.0146619,-0.47386
0,2,14,-0.0116768,-0.446549
0,2,15,-0.00808392,-0.424175
0,2,16,-0.00392768,-0.309929
0,2,17,-0.000762459,-0.200153
0,2,18,0.000716914,-0.24903
0,2,19,0.00227479,-0.211033
0,2,20,0.00143116,-0.0782236
0,2,21,0.00190748,-0.0707137
0,2,22,0,0
0,2,23,0.00159849,-0.034906
0,2,24,0,0
0,2,25,0.00392592,-0.0748353
0,2,26,0.0021832,-0.0436309
0,2,27,0,0
0,2,28,0,0
0,2,29,0,0
0,2,30,0,0
0,3,0,-0.0551052,-0.461053
0,3,1,-0.0513718,-0.465446
0,3,2,-0.0484721,-0.463931
0,3,3,-0.04516,-0.48714
0,3,4,-0.042274,-0.467974
0,3,5,-0.0392501,-0.459105
0,3,6,-0.036394,-0.484865
0,3,7,-0.0329564,-0.497576
0,3,8,-0.0308701,-0.482099
0,3,9,-0.0275157,-0.486161
0,3,10,-0.0252063,-0.471905
0,3,11,-0.0223676,-0.464863
0,3,12,-0.0186073,-0.446138
0,3,13,-0.0156786,-0.45958
0,3,14,-0.011848,-0.472665
0,3,15,-0.00750642,-0.410077
0,3,16,-0.0044132,-0.362824
0,3,17,-0.000874095,-0.262046
0,3,18,2.37103e-05,-0.264041
0,3,19,0.00131715,-0.125855
0,3,20,0.00128036,-0.0666899
0,3,21,0.00327795,-0.129366
0,3,22,0.00118014,-0.0412672
0,3,23,0,0
0,3,24,0.00185299,-0.0351929
0,3,25,0.00216277,-0.0451139
0,3,26,0.00231163,-0.0301424
0,3,27,0,0
0,3,28,0,0
0,3,29,0,0
0,3,30,0.00346997,-0.0469523
0,4,0,-0.0542967,-0.428455
0,4,1,-0.0509215,-0.46921
