avg,prediction,idle,transmit
0,0,0,-0.439454
0,1,0,-0.423076
0,2,0,-0.410959
0,3,0,-0.344316
0,4,0,-0.35094
0,5,0,-0.35319
0,6,0,-0.228083
0,7,0,-0.226328
0,8,0,-0.157129
0,9,0,-0.139554
0,10,0,-0.0520083
0,11,0,-0.049908
0,12,0,-0.0950797
0,13,0,0.0456945
0,14,0,0.0436731
0,15,0,0.0453611
0,16,0,0.0879911
0,17,0,0.0783001
0,18,0,0.0152599
0,19,0,0
0,20,0,0
0,21,0,0
0,22,0,0
0,23,0,0
0,24,0,0
0,25,0,0
1,0,0,-0.351356
1,1,0,-0.344285
1,2,0,-0.33194
1,3,0,-0.281674
1,4,0,-0.281848
1,5,0,-0.219002
1,6,0,-0.229422
1,7,0,-0.121517
1,8,0,-0.093659
1,9,0,-0.0908246
1,10,0,-0.0376854
1,11,0,0.0187014
1,12,0,0.0338232
1,13,0,0.00858185
1,14,0,0.116085
1,15,0,0.114781
1,16,0,0.110699
1,17,0,0.192597
1,18,0,0.320927
1,19,0,0.338645
1,20,0,0.088403
1,21,0,0.106222
1,22,0,0.0026984
1,23,0,0
1,24,0,0
1,25,0,0
2,0,0,-0.312039
2,1,0,-0.292858
2,2,0,-0.214593
2,3,0,-0.219679
2,4,0,-0.206701
2,5,0,-0.146971
2,6,0,-0.134909
2,7,0,-0.0709442
2,8,0,-0.0385145
2,9,0,-0.0297116
2,10,0,0.00728737
2,11,0,0.0918534
2,12,0,0.0742852
2,13,0,0.102744
2,14,0,0.145046
2,15,0,0.213212
2,16,0,0.202131
2,17,0,0.274152
2,18,0,0.31623
2,19,0,0.257642
2,20,0,0.231254
2,21,0,0
2,22,0,0.0544033
2,23,0,0
2,24,0,0.0128193
2,25,0,0
3,0,0,0
3,1,0,0.0349167
3,2,0,0.0417742
3,3,0,0.0480145
3,4,0,0.0349167
3,5,0,0.0635634
3,6,0,0.0480145
3,7,0,0.0349167
3,8,0,0.0814398
3,9,0,0.0635634
3,10,0,0.0635634
3,11,0,0.0588608
3,12,0,0.0814398
3,13,0,0.0785053
3,14,0,0.0785053
3,15,0,0.0480145
3,16,0,0.0588608
3,17,0,0.0536932
3,18,0,0
3,19,0,0.027381
3,20,0,0.0480145
3,21,0,0.0191
3,22,0,0.01
3,23,0,0
3,24,0,0
3,25,0,0.01
