avg,prediction,idle,transmit
0,0,0,-0.525643
0,1,0,-0.521557
0,2,0,-0.523667
0,3,0,-0.444737
0,4,0,-0.437568
0,5,0,-0.428801
0,6,0,-0.383761
0,7,0,-0.369403
0,8,0,-0.298414
0,9,0,-0.287906
0,10,0,-0.237299
0,11,0,-0.259452
0,12,0,-0.125928
0,13,0,-0.119647
0,14,0,-0.116262
0,15,0,-0.0774009
0,16,0,-0.0126116
0,17,0,0.0391652
0,18,0,0.03396
0,19,0,0.113961
0,20,0,0.103893
0,21,0,0.138994
0,22,0,0.131065
0,23,0,0.0428119
0,24,0,0
0,25,0,0
0,26,0,0
0,27,0,0
0,28,0,0
0,29,0,0
0,30,0,0
1,0,0,-0.443497
1,1,0,-0.418073
1,2,0,-0.403711
1,3,0,-0.361676
1,4,0,-0.327555
1,5,0,-0.317765
1,6,0,-0.288711
1,7,0,-0.274215
1,8,0,-0.239943
1,9,0,-0.203518
1,10,0,-0.166158
1,11,0,-0.113172
1,12,0,-0.0704985
1,13,0,-0.0503369
1,14,0,-0.0474746
1,15,0,0.00167855
1,16,0,0.0512321
1,17,0,0.0311758
1,18,0,0.0935582
1,19,0,0.103552
1,20,0,0.174616
1,21,0,0.192002
1,22,0,0.242599
1,23,0,0.25665
1,24,0,0.306893
1,25,0,0.382593
1,26,0,0.376177
1,27,0,0.33017
1,28,0,0.0315123
1,29,0,0
1,30,0,0
2,0,0,0
2,1,0,-0.339057
2,2,0,-0.349001
2,3,0,-0.279733
2,4,0,-0.290342
2,5,0,-0.267501
2,6,0,-0.18131
2,7,0,-0.200732
2,8,0,-0.156248
2,9,0,-0.114573
2,10,0,-0.0876466
2,11,0,-0.0908743
2,12,0,-0.0476144
2,13,0,0.00749844
2,14,0,0.00896694
2,15,0,0.082033
2,16,0,0.0925848
2,17,0,0.170284
2,18,0,0.149965
2,19,0,0.187403
2,20,0,0.148315
2,21,0,0.230102
2,22,0,0.196317
2,23,0,0.232745
2,24,0,0.31638
2,25,0,0.38406
2,26,0,0.410448
2,27,0,0.418325
2,28,0,0.444384
2,29,0,0.350136
2,30,0,0.133716
3,0,0,0
3,1,0,0.027381
3,2,0,0.0417742
3,3,0,0.027381
3,4,0,0.0417742
3,5,0,0.0480145
3,6,0,0.0349167
3,7,0,0.027381
3,8,0,0.027381
3,9,0,0.0417742
3,10,0,0.0635634
3,11,0,0.0785053
3,12,0,0.0678427
3,13,0,0.0995566
3,14,0,0.0717368
3,15,0,0.0588608
3,16,0,0.0536932
3,17,0,0.0717368
3,18,0,0.0349167
3,19,0,0.0480145
3,20,0,0
3,21,0,0
3,22,0,0.01
3,23,0,0
3,24,0,0
3,25,0,0.01
3,26,0,0.0349167
3,27,0,0.0349167
3,28,0,0.01
3,29,0,0.01
3,30,0,0
