avg,prediction,idle,transmit
0,0,0,0
0,1,0,-0.552777
0,2,0,-0.580656
0,3,0,-0.572497
0,4,0,-0.549314
0,5,0,-0.572071
0,6,0,-0.519722
0,7,0,-0.488369
0,8,0,-0.461168
0,9,0,-0.419457
0,10,0,-0.4167
0,11,0,-0.380998
0,12,0,-0.338358
0,13,0,-0.279013
0,14,0,-0.286753
0,15,0,-0.306889
0,16,0,-0.251819
0,17,0,-0.220819
0,18,0,-0.192791
0,19,0,-0.159677
0,20,0,-0.158
0,21,0,-0.135664
0,22,0,-0.12543
0,23,0,-0.081694
0,24,0,-0.0623106
0,25,0,0.0145335
0,26,0,0
0,27,0,0
0,28,0,0
0,29,0,0
0,30,0,0
0,31,0,0
0,32,0,0
0,33,0,0
0,34,0,0
0,35,0,0
0,36,0,0
0,37,0,0
0,38,0,0
0,39,0,0
0,40,0,0
1,0,0,0
1,1,0,0
1,2,0,0
1,3,0,0
1,4,0,0
1,5,0,-0.376658
1,6,0,-0.399749
1,7,0,-0.399464
1,8,0,-0.383357
1,9,0,-0.332651
1,10,0,-0.315137
1,11,0,-0.290567
1,12,0,-0.292283
1,13,0,-0.227868
1,14,0,-0.190506
1,15,0,-0.205557
1,16,0,-0.243134
1,17,0,-0.188486
1,18,0,-0.176432
1,19,0,-0.0958612
1,20,0,-0.0989828
1,21,0,-0.0406404
1,22,0,-0.0454738
1,23,0,-0.0041277
1,24,0,-0.00238945
1,25,0,0.0398242
1,26,0,0.048675
1,27,0,0.0903174
1,28,0,0.128422
1,29,0,0.131546
1,30,0,0.155849
1,31,0,0
1,32,0,0
1,33,0,0
1,34,0,0
1,35,0,0
1,36,0,0
1,37,0,0
1,38,0,0
1,39,0,0
1,40,0,0
2,0,0,0
2,1,0,0
2,2,0,0
2,3,0,0
2,4,0,0
2,5,0,0
2,6,0,0
2,7,0,-0.25786
2,8,0,-0.314223
2,9,0,-0.239203
2,10,0,-0.222496
2,11,0,-0.258239
2,12,0,-0.199435
2,13,0,-0.194478
2,14,0,-0.180659
2,15,0,-0.176668
2,16,0,-0.16405
2,17,0,-0.13143
2,18,0,-0.085681
2,19,0,-0.047795
2,20,0,-0.0537493
2,21,0,0.00793833
2,22,0,0.0148257
2,23,0,0.0779036
2,24,0,0.0377552
2,25,0,0.0722572
2,26,0,0.0965917
2,27,0,0.159354
2,28,0,0.179315
2,29,0,0.200381
2,30,0,0.229949
2,31,0,0.233922
2,32,0,0.151433
2,33,0,0
2,34,0,0
2,35,0,0
2,36,0,0
2,37,0,0
2,38,0,0
2,39,0,0
2,40,0,0
3,0,0,0
3,1,0,0
3,2,0,0
3,3,0,0
3,4,0,0
3,5,0,0
3,6,0,0
3,7,0,0.0191
3,8,0,0
3,9,0,0.0191
3,10,0,0.0349167
3,11,0,0.0349167
3,12,0,0.0814398
3,13,0,0.0678426
3,14,0,0.0814398
3,15,0,0.0588608
3,16,0,0
3,17,0,0.0752805
3,18,0,0.0588608
3,19,0,0.0191
3,20,0,0.0588608
3,21,0,0.0191
3,22,0,0.0814398
3,23,0,0.090764
3,24,0,0.0995566
3,25,0,0.105678
3,26,0,0.10455
3,27,0,0.0678426
3,28,0,0.0942617
3,29,0,0.103188
3,30,0,0.105678
3,31,0,0.0588608
3,32,0,0.0191
3,33,0,0
3,34,0,0
3,35,0,0
3,36,0,0
3,37,0,0
3,38,0,0
3,39,0,0
3,40,0,0
