avg,prediction,idle,transmit
0,0,0,-0.692285
0,1,0,-0.662216
0,2,0,-0.657424
0,3,0,-0.586917
0,4,0,-0.626917
0,5,0,-0.635656
0,6,0,-0.582968
0,7,0,-0.613863
0,8,0,-0.578641
0,9,0,-0.597027
0,10,0,-0.515799
0,11,0,-0.577603
0,12,0,-0.514509
0,13,0,-0.522309
0,14,0,-0.496742
0,15,0,-0.447044
0,16,0,-0.524577
0,17,0,-0.456293
0,18,0,-0.482337
0,19,0,-0.47611
0,20,0,-0.460105
0,21,0,-0.316304
0,22,0,-0.358722
0,23,0,-0.354781
0,24,0,-0.377546
0,25,0,-0.360851
0,26,0,-0.343089
0,27,0,-0.280082
0,28,0,-0.311319
0,29,0,-0.225728
0,30,0,-0.185951
0,31,0,-0.254113
0,32,0,-0.178576
0,33,0,-0.141802
0,34,0,-0.182206
0,35,0,-0.109357
0,36,0,-0.119757
0,37,0,-0.157501
0,38,0,-0.0891749
0,39,0,-0.149139
0,40,0,-0.0869586
0,41,0,-0.0560481
0,42,0,-0.0706496
0,43,0,0.0180492
0,44,0,-0.01459
0,45,0,-0.0106393
0,46,0,0.066522
0,47,0,0.0848625
0,48,0,0.106285
0,49,0,0.100085
0,50,0,0.0992953
0,51,0,0.126093
0,52,0,0.1726
0,53,0,0.137792
0,54,0,0.159583
0,55,0,0.10979
0,56,0,0.151615
0,57,0,0.153465
0,58,0,0.163497
0,59,0,0.156786
0,60,0,0.261064
1,0,0,-0.128688
1,1,0,-0.58793
1,2,0,-0.564148
1,3,0,-0.533417
1,4,0,-0.552269
1,5,0,-0.509516
1,6,0,-0.51908
1,7,0,-0.501717
1,8,0,-0.562733
1,9,0,-0.462814
1,10,0,-0.480444
1,11,0,-0.48554
1,12,0,-0.452573
1,13,0,-0.444303
1,14,0,-0.441484
1,15,0,-0.398619
1,16,0,-0.417449
1,17,0,-0.328293
1,18,0,-0.373771
1,19,0,-0.349217
1,20,0,-0.325771
1,21,0,-0.296796
1,22,0,-0.316671
1,23,0,-0.296862
1,24,0,-0.311476
1,25,0,-0.236879
1,26,0,-0.272037
1,27,0,-0.191301
1,28,0,-0.239217
1,29,0,-0.208837
1,30,0,-0.219471
1,31,0,-0.12357
1,32,0,-0.177854
1,33,0,-0.194424
1,34,0,-0.104355
1,35,0,-0.090691
1,36,0,-0.105322
1,37,0,-0.0577314
1,38,0,-0.00611953
1,39,0,0.003262
1,40,0,-0.0489254
1,41,0,-0.0655605
1,42,0,0.0288066
1,43,0,0.0146565
1,44,0,0.0312729
1,45,0,0.0240005
1,46,0,0.0759764
1,47,0,0.0736114
1,48,0,0.025684
1,49,0,0.150469
1,50,0,0.108994
1,51,0,0.169151
1,52,0,0.187737
1,53,0,0.217857
1,54,0,0.119077
1,55,0,0.247408
1,56,0,0.244678
1,57,0,0.329342
1,58,0,0.231978
1,59,0,0.317984
1,60,0,0.329067
2,0,0,-0.0430781
2,1,0,-0.511522
2,2,0,-0.470382
2,3,0,-0.45464
2,4,0,-0.43906
2,5,0,-0.433493
2,6,0,-0.379643
2,7,0,-0.384158
2,8,0,-0.429439
2,9,0,-0.416346
2,10,0,-0.408719
2,11,0,-0.353475
2,12,0,-0.327027
2,13,0,-0.408308
2,14,0,-0.34341
2,15,0,-0.329072
2,16,0,-0.337018
2,17,0,-0.282833
2,18,0,-0.299365
2,19,0,-0.297153
2,20,0,-0.271177
2,21,0,-0.198656
2,22,0,-0.244607
2,23,0,-0.207057
2,24,0,-0.219884
2,25,0,-0.230028
2,26,0,-0.17571
2,27,0,-0.194399
2,28,0,-0.104925
2,29,0,-0.0684422
2,30,0,-0.0912568
2,31,0,-0.0977169
2,32,0,-0.0667475
2,33,0,-0.0551913
2,34,0,-0.046925
2,35,0,0.0214767
2,36,0,-0.0379426
2,37,0,-0.00523831
2,38,0,-0.0143992
2,39,0,0.0442231
2,40,0,0.0199989
2,41,0,0.0381253
2,42,0,0.123752
2,43,0,0.108318
2,44,0,0.120985
2,45,0,0.161869
2,46,0,0.164106
2,47,0,0.165637
2,48,0,0.178626
2,49,0,0.208758
2,50,0,0.250122
2,51,0,0.245386
2,52,0,0.229527
2,53,0,0.202376
2,54,0,0.249453
2,55,0,0.276454
2,56,0,0.297809
2,57,0,0.333041
2,58,0,0.301308
2,59,0,0.375819
2,60,0,0.407995
3,0,0,0
3,1,0,0.0349167
3,2,0,0.0588608
3,3,0,0.0349167
3,4,0,0.0349167
3,5,0,0.0417742
3,6,0,0.01
3,7,0,0.01
3,8,0,0.0191
3,9,0,0.0349167
3,10,0,0.027381
3,11,0,0.01
3,12,0,0
3,13,0,0.0349167
3,14,0,0
3,15,0,0.0191
3,16,0,0.0191
