avg,prediction,idle,transmit
0,0,0,-0.541054
0,1,0,-0.515832
0,2,0,-0.495033
0,3,0,-0.452078
0,4,0,-0.460543
0,5,0,-0.409465
0,6,0,-0.418302
0,7,0,-0.356251
0,8,0,-0.329356
0,9,0,-0.27404
0,10,0,-0.211777
0,11,0,-0.220906
0,12,0,-0.168146
0,13,0,-0.136129
0,14,0,-0.101655
0,15,0,-0.0740924
0,16,0,-0.0174525
0,17,0,0.0380876
0,18,0,0.0845948
0,19,0,0.151465
0,20,0,0.209069
0,21,0,0.268459
0,22,0,0.180041
0,23,0,0.0231818
0,24,0,0
0,25,0,0
0,26,0,0
0,27,0,0
0,28,0,0
0,29,0,0
0,30,0,0
1,0,0,-0.441344
1,1,0,-0.400189
1,2,0,-0.376222
1,3,0,-0.374619
1,4,0,-0.380561
1,5,0,-0.305154
1,6,0,-0.303912
1,7,0,-0.269579
1,8,0,-0.229962
1,9,0,-0.153071
1,10,0,-0.161625
1,11,0,-0.162399
1,12,0,-0.106188
1,13,0,-0.0836388
1,14,0,-0.0809769
1,15,0,-0.00264489
1,16,0,0.0298893
1,17,0,0.0854708
1,18,0,0.16742
1,19,0,0.19737
1,20,0,0.256052
1,21,0,0.303257
1,22,0,0.315543
1,23,0,0.378886
1,24,0,0.377781
1,25,0,0.263539
1,26,0,0
1,27,0,0.0262752
1,28,0,0
1,29,0,0
1,30,0,0
2,0,0,-0.322709
2,1,0,-0.33037
2,2,0,-0.336058
2,3,0,-0.306267
2,4,0,-0.259458
2,5,0,-0.258818
2,6,0,-0.230306
2,7,0,-0.190391
2,8,0,-0.155647
2,9,0,-0.10492
2,10,0,-0.0969128
2,11,0,-0.0546718
2,12,0,-0.0236241
2,13,0,0.032839
2,14,0,0.0252737
2,15,0,0.0628832
2,16,0,0.158673
2,17,0,0.161136
2,18,0,0.161701
2,19,0,0.243072
2,20,0,0.312051
2,21,0,0.325341
2,22,0,0.381914
2,23,0,0.39372
2,24,0,0.385664
2,25,0,0.401176
2,26,0,0.415019
2,27,0,0.232892
2,28,0,0.0475035
2,29,0,0
2,30,0,0
3,0,0,0.0191
3,1,0,0.0752805
3,2,0,0.0635634
3,3,0,0.0536932
3,4,0,0.0480145
3,5,0,0.0536932
3,6,0,0.0417742
3,7,0,0.0635634
3,8,0,0.0814398
3,9,0,0.0536932
3,10,0,0.0752805
3,11,0,0.0752805
3,12,0,0.0717368
3,13,0,0.090764
3,14,0,0.0678427
3,15,0,0.0588608
3,16,0,0
3,17,0,0.027381
3,18,0,0.0191
3,19,0,0.01
3,20,0,0
3,21,0,0
3,22,0,0.01
3,23,0,0.01
3,24,0,0.01
3,25,0,0.01
3,26,0,0.027381
3,27,0,0
3,28,0,0
3,29,0,0
3,30,0,0
